SampleID	Sample	Animal	Type	Sex
BY001_F12	BY001	Booniny	faeces	Female
BY005_F08	BY005	Booniny	faeces	Female
BY009_F12	BY009	Booniny	faeces	Female
BY012_F08	BY012	Booniny	faeces	Female
BY016_F12	BY016	Booniny	faeces	Female
GD015_F06	GD015	Gunduwa	faeces	Male
GD016_F10	GD016	Gunduwa	faeces	Male
GD017_F10	GD017	Gunduwa	faeces	Male
GD018_F11	GD018	Gunduwa	faeces	Male
GD019_F06	GD019	Gunduwa	faeces	Male
GD028_F06	GD028	Glow	faeces	Male
GW021_F11	GW021	Glow	faeces	Male
GW025_F11	GW025	Glow	faeces	Male
GW031_F11	GW031	Glow	faeces	Male
GW035_F11	GW035	Glow	faeces	Male
HH001_F11	HH001	HairyHead	faeces	Male
HH004_F06	HH004	HairyHead	faeces	Male
HH007_F06	HH007	HairyHead	faeces	Male
HH009_F06	HH009	HairyHead	faeces	Male
HH014_F06	HH014	HairyHead	faeces	Male
MN025_F04	MN025	Mono	faeces	Female
MN030_F07	MN030	Mono	faeces	Female
MN035_F04	MN035	Mono	faeces	Female
MN038_F04	MN038	Mono	faeces	Female
MN041_F04	MN041	Mono	faeces	Female
TY001_F01	TY001	Tachy	faeces	Female
TY005_F01	TY005	Tachy	faeces	Female
TY009_F01	TY009	Tachy	faeces	Female
TY014_F01	TY014	Tachy	faeces	Female
TY018_F01	TY018	Tachy	faeces	Female
Ext001_F01	Ext001	Extraction_Blank	Extraction_Blank	Extraction_Blank
Ext002_F01	Ext002	Extraction_Blank	Extraction_Blank	Extraction_Blank
Ext003_F03	Ext003	Extraction_Blank	Extraction_Blank	Extraction_Blank
Ext004_F06	Ext004	Extraction_Blank	Extraction_Blank	Extraction_Blank
Ext005_F10	Ext005	Extraction_Blank	Extraction_Blank	Extraction_Blank
PCR001_F08	PCR001	PCR_Blank	PCR_Blank	PCR_Blank
PCR002_F16	PCR002	PCR_Blank	PCR_Blank	PCR_Blank
PCR003_F01	PCR003	PCR_Blank	PCR_Blank	PCR_Blank
